repo_slug,category,rationale,suggested_new_class
adgaultier/tamanoir,Offensive Security,"The repository explicitly describes itself as 'An eBPF Keylogger with C2-based RCE payload delivery'. Its functionality includes capturing keystrokes, exfiltrating them via DNS queries, and providing a mechanism for remote code execution through a command and control (C2) server. This architecture is purpose-built for adversarial actions such as stealthy data exfiltration and post-exploitation persistence. These capabilities squarely align with the definition of Offensive Security, which includes tools for red-teaming, exploitation, and demonstrating how eBPF can be used to subvert system security.",
kakao/kubectl-cilium,Observability,"The repository provides a `kubectl` plugin specifically designed to monitor and scan the BPF map usage within a Cilium-managed Kubernetes cluster. Its primary function is to observe and measure a critical operational metric — the capacity of BPF maps — to help administrators proactively identify potential performance issues or network failures due to map exhaustion. This aligns perfectly with the definition of Observability, which focuses on providing insight into system behavior for diagnostics and reliability. The tool answers the question, ""What is the current pressure on our BPF maps?"" rather than enforcing a security policy (Runtime Security), providing the network dataplane (Cloud Native Networking), or managing the lifecycle of Cilium itself (Operations, Orchestration & Lifecycle Management). It is a diagnostic and monitoring tool for an eBPF-based system.",
HMoradiRad/Comparing-Cilium-and-Calico,Educational / Demonstration Resources,"The repository's primary purpose is to educate users by demonstrating and comparing the performance of Cilium (an eBPF-based CNI) and Calico. It provides a detailed, step-by-step tutorial with scripts and configurations to reproduce a performance benchmark. The content is structured as a hands-on learning exercise to showcase the network throughput, latency, and load balancing differences between the two technologies. It is not a production tool itself, but rather a resource for learning, experimentation, and evaluation, which aligns perfectly with the definition of an educational or demonstration resource.",
maxgio92/xcover,Defensive Security,"The primary intent of `xcover` is to profile the functional test coverage of applications. By identifying which code paths are executed during testing, it helps developers discover weaknesses in their test suites and, by extension, untested parts of their application that may contain bugs or vulnerabilities. This aligns directly with the definition of Defensive Security, which includes tools that 'strengthen, validate, or harden systems before or outside of active runtime attack conditions' and 'analyze... application behavior for... potential weaknesses.' The tool generates a profile during a safe operation (testing) to enable proactive hardening, which is a core tenet of the Defensive Security class.",
chains-project/goleash,Runtime Security,"The repository is explicitly described as an 'eBPF-based runtime policy enforcement tool designed to defend Go applications against software supply chain attacks'. Its primary functionality is to monitor system calls in real time, compare them against a policy, and actively block any unauthorized behavior from compromised dependencies. This directly fits the definition of Runtime Security, which focuses on observing, detecting, and responding to malicious or policy-violating activity as it happens. The tool's 'Enforcement Mode' is a clear implementation of real-time threat mitigation.",
gamemann/XDP-Proxy,Kernel / Dataplane Networking,"The repository's primary function is to create a ""stateless, high-performance NAT-like proxy"" that attaches to the XDP hook for ""fast packet processing."" This directly aligns with the definition of Kernel / Dataplane Networking, which includes programs that use eBPF (specifically XDP) to implement, accelerate, or manipulate packet processing in the kernel. The project focuses on low-level packet path efficiency, forwarding, and filtering, independent of any cloud-native context. Its functionality is analogous to traditional kernel networking components like iptables, but implemented with eBPF for performance. It is not a security tool, an observability agent, or a cloud-native CNI.",
Iliabuleh/azflow,Observability,"The repository provides a command-line tool specifically designed to observe, detect, and analyze a particular type of network traffic: cross-availability-zone flows. It consumes data from Hubble, which uses eBPF for deep network visibility. The tool's intent is not to enforce security, provide networking infrastructure, or exploit vulnerabilities. Instead, it aims to provide operational insight into network patterns, which is a core function of observability. Analyzing cross-AZ traffic is crucial for understanding application performance, latency, and cloud costs—all of which are key observability concerns.",
Outfluencer/Minecraft-XDP-eBPF,Runtime Security,"The repository's primary and explicitly stated purpose is to protect Minecraft servers from Layer 7 DDoS attacks in real time. It uses eBPF with XDP to inspect incoming network packets, detect malicious activity (invalid handshakes, connection throttling), and respond immediately by dropping packets and temporarily blacklisting IP addresses. This functionality perfectly matches the definition of Runtime Security, which includes programs that 'observe, detect, and respond to potentially malicious or policy-violating activity while a system or workload is actively running' and 'enforce runtime policies, such as blocking forbidden syscalls [or packets]'. While it operates in the networking dataplane, its intent is not general-purpose networking but active threat mitigation.",
jnesss/bpfview,Runtime Security,"The repository's primary intent is to observe, detect, and respond to malicious activity in real-time. The documentation prominently features ""powerful real-time detection"" and an ""Automated Response"" system capable of terminating processes and blocking network connections. Its integration with the Sigma detection standard for matching process behavior against threat rules, along with a concrete example of detecting and stopping a cryptocurrency miner, firmly places it in the Runtime Security category. While it gathers extensive telemetry similar to an observability tool, its core purpose is threat detection and enforcement, not neutral system monitoring.",
ravikumar1907/llm-ebpf-tracer,Observability,"The repository's primary and sole purpose is to trace, analyze, and profile the system-level behavior of Large Language Model (LLM) workloads. It uses eBPF to collect telemetry on syscalls (`mmap`, `mlock`) and scheduler events to understand performance, not to detect or prevent security threats. The stated goals of debugging slow performance, optimizing resource usage, and profiling applications, along with its planned integration with Prometheus and Grafana, align perfectly with the definition of an Observability tool. It provides insight into system behavior for performance tuning, which is the core intent of this class.",
zimage/eBPF-drop-rfc-3514,Educational / Demonstration Resources,"Although the repository implements a packet filtering program that technically falls under 'Kernel / Dataplane Networking' or superficially appears to be 'Runtime Security', its entire premise is based on the satirical April Fools' Day RFC 3514 (the 'evil bit'). The project's sarcastic tone and lack of any real-world security application clearly indicate its primary intent is not production use. Instead, it serves as a humorous proof-of-concept and a showcase program. It demonstrates how to write a simple XDP program in an amusing context, perfectly aligning with the definition of an educational or demonstration resource designed to teach or illustrate a concept rather than solve an operational problem.",
adgaultier/caracal,Offensive Security,"The repository's primary intent is to use eBPF for adversarial purposes, specifically for stealth and evasion. Its main features are to ""hide target bpf programs & maps"" and ""hide target processes"" from standard system inspection tools like `bpftool` and `ps`. This functionality is a classic example of a rootkit, designed to evade detection and maintain stealthy persistence. The project's description aligns perfectly with the 'Offensive Security' class, which includes rootkits, implants, and tools for stealth, concealment, and evasion, even if their stated purpose is educational.",
sentrilite/sentrilite,Runtime Security,"The repository describes an eBPF agent for ""EDR/XDR through observability, AI-LLM insights and real-time response."" Its primary function is to observe system calls, file activity, and network connections in real-time to detect and respond to malicious or policy-violating behavior. The documentation highlights features like generating security alerts based on risk scoring (e.g., for ""privilege-escalation attempts""), enforcing policies by blocking binaries, and denying network egress. These capabilities—real-time detection, alerting on suspicious activity, and automated response—are the defining characteristics of the Runtime Security class. While the project uses the term 'observability', its core intent is clearly security enforcement and threat detection, not neutral performance monitoring.",
Gthulhu/Gthulhu,"Platform, Runtime & Acceleration","The repository implements a next-generation process scheduler using the `sched_ext` kernel feature, which allows scheduling logic to be defined in eBPF. Its primary goal is to optimize how cloud-native workloads are executed by the kernel by implementing features like vruntime-based scheduling and latency-sensitive prioritization. This directly fits the ""Platform, Runtime & Acceleration"" category, as it enhances a core kernel platform function (scheduling) to provide a more efficient execution environment for applications. It is not an observability, security, or networking tool, but rather a fundamental modification to the system's runtime behavior and execution engine.",
guolifu/phbpf,Developer Tooling / Frameworks,"The repository provides a PHP extension that serves as a language binding and framework for libbpf and BCC. Its primary purpose is to enable developers to create, load, and interact with eBPF programs using PHP scripts. The project itself is not a deployable security or observability tool; rather, it provides the SDK and APIs for developers to build such tools within the PHP ecosystem. The architecture, which exposes libbpf/BCC functionality to PHP, and the goal of enabling ""rapid development and debugging of eBPF functionalities"" clearly place it in the Developer Tooling / Frameworks category.",
ALEYI17/InfraSight,Runtime Security,"While the repository is described as an ""observability platform,"" its core features and stated goals align directly with Runtime Security. The platform explicitly includes a ""Rules engine for predefined threats"" and a ""Machine Learning anomaly detection"" module to identify malicious behavior like reverse shells, privilege escalation, and unusual syscall patterns. The choice of traced syscalls (`ptrace`, `mmap`, `mount`) and their documented purpose (e.g., ""detecting ... code injection behavior,"" ""reveal suspicious allocations often used in exploits"") clearly indicates a security-oriented intent. According to the classification guidelines, a tool that moves beyond neutral telemetry collection to actively detect and alert on malicious or suspicious actions falls under Runtime Security. Its purpose is not just to observe, but to defend.",
stelb/antrea2cilium,Educational / Demonstration Resources,"The repository's README explicitly states its purpose is for a ""demo"" and is based on existing tutorials. It provides a set of ordered scripts that walk a user through a specific, complex operational task (migrating from Antrea CNI to Cilium CNI) for learning and demonstration purposes. The use of `tmux` to automatically arrange terminal panes for watching the process further emphasizes its role as an interactive demonstration tool rather than a reusable, production-grade operational utility. It perfectly fits the definition of a resource whose primary purpose is to educate or demonstrate a concept, in this case, the operational lifecycle management of a CNI.",
bugsfixing/XDP-fastDNSC,Kernel / Dataplane Networking,"The repository's primary intent is to create a high-performance DNS caching service by processing DNS packets directly in the kernel using XDP. This aligns perfectly with the definition of 'Kernel / Dataplane Networking', which includes programs that 'use eBPF to implement, accelerate, or manipulate packet processing directly within the Linux kernel networking stack'. The project's explicit goal is to 'accelerate networking functions, such as... DNS' and it operates at the XDP layer, independent of any cloud-native orchestration, making it a classic example of a kernel-level network function implementation.",
sameehj/ebpf-mcp,"Operations, Orchestration & Lifecycle Management","The repository's primary purpose is to provide a server that acts as a secure control plane for managing the lifecycle of eBPF programs. Its core functionality, exposed via the Model Context Protocol (MCP), includes loading, attaching, introspecting, and streaming data from eBPF programs. This aligns perfectly with the definition of 'Operations, Orchestration & Lifecycle Management', which focuses on tools that 'manage, deploy, coordinate, configure, or automate the lifecycle of eBPF programs'. The project is not an eBPF program that performs security or observability itself, but rather an agent that orchestrates other eBPF programs on behalf of an automated client (like an AI). The emphasis on being an 'MCP server', providing a schema-enforced interface, and managing resources (auto-cleanup) solidifies its role as operational glue for eBPF.",
Kazedaa/eBAF,Kernel / Dataplane Networking,"The repository implements an ""Ad Firewall"" that uses eBPF, specifically the XDP (eXpress Data Path) hook, to inspect and block network packets at the kernel level. This functionality perfectly aligns with the definition of Kernel / Dataplane Networking, which includes programs that ""implement firewalls, ... or packet classifiers directly at the kernel level"" and ""process packets in-kernel using eBPF hooks such as XDP"". The tool's primary purpose is high-performance packet filtering based on a predefined list of IP addresses, a classic dataplane networking function. While it enforces a policy, it is not classified as Runtime Security because its intent is to block unwanted commercial content (ads), not to detect or mitigate malicious security threats like exploits or intrusions.",
famidok/Blackhole,Kernel / Dataplane Networking,"The repository's main purpose is to provide a high-performance, XDP-based packet filtering tool that operates directly at the kernel level. This aligns perfectly with the definition of 'Kernel / Dataplane Networking', which includes programs using XDP for packet processing, filtering, and traffic control independent of higher-level orchestration. The tool's features—blocking traffic based on IPs, ports, and interfaces—are classic examples of a kernel-level firewall or packet filter. It is not 'Cloud Native Networking' as it is not designed for Kubernetes or container environments. While it performs a security-related function (firewalling), it does not fit 'Runtime Security' because it applies static, pre-configured blocklists rather than performing real-time detection of malicious activity or behavioral anomalies.",
clickpost-ai/thread_profiling,Observability,"The repository's primary function is to observe, measure, and profile the performance of running applications by correlating kernel syscalls. It provides metrics on queue depth, thread utilization, response times, and lock contention to help developers and SREs understand application behavior, identify bottlenecks, and optimize resource usage. This aligns perfectly with the definition of Observability, which is to turn low-level kernel events into actionable visibility for performance analysis and diagnostics, without a security or adversarial goal. The tool's output consists of performance metrics, and its use cases are centered around performance tuning, capacity planning, and production debugging.",
some-user/xdp-socket,Kernel / Dataplane Networking,"The repository provides a Rust implementation of AF_XDP sockets, designed specifically for high-performance, low-level packet processing. Its stated goal is to bypass the kernel's networking stack for maximum throughput and low latency. This aligns directly with the definition of Kernel / Dataplane Networking, which covers programs that use eBPF hooks like XDP and AF_XDP to implement or accelerate packet processing at the lowest layers of the stack, independent of higher-level orchestration. While it is a library for developers, its exclusive function is to enable the creation of kernel dataplane networking applications, making this class more specific and accurate than the broader 'Developer Tooling / Frameworks' category.",
0Bharat9/file_integerity_monitoring,Runtime Security,"The repository implements a File Integrity Monitoring (FIM) system using eBPF. Its documented purpose is explicit: ""real-time security monitoring"" and ""Real-time threat detection"". The tool observes file system events (creation, deletion, modification) as they occur and uses hash-based verification to detect unauthorized changes to critical files. This directly aligns with the definition of Runtime Security, which involves observing system activity to detect potentially malicious or policy-violating behavior while a system is actively running. The primary intent is to defend a running system by identifying suspicious activity, not simply to observe for performance (Observability) or to harden pre-emptively (Defensive Security).",
matttbe/tcp-in-udp,Kernel / Dataplane Networking,"The repository's sole purpose is to implement a TCP-in-UDP tunnel using eBPF. This involves direct packet manipulation and processing within the kernel's networking stack, specifically using Traffic Control (tc) hooks. This aligns perfectly with the definition of Kernel / Dataplane Networking, which focuses on using eBPF for in-kernel packet processing tasks like tunneling, filtering, and routing, independent of any higher-level orchestration like Kubernetes. The project is a clear example of building a software-defined network function at the kernel level for performance and traffic control.",
Synarcs/DNSObelisk,Runtime Security,"The repository's primary and explicitly stated goal is to detect and prevent DNS-based data exfiltration in real time. It uses eBPF hooks across the kernel network stack (TC, XDP, sockets) to perform deep packet inspection, identify malicious activity like C2 communication and tunneling, and actively respond by blocking packets, severing channels, and destroying tunnels. The project describes itself as a solution for 'Endpoint Detection and Response (EDR / XDR)' and focuses on 'dynamic threat mitigation' and 'severing C2 channels on creation.' This aligns perfectly with the definition of Runtime Security, which involves observing, detecting, and responding to malicious activity while a system is actively running.",
NationalSecurityAgency/seabee,Defensive Security,"The repository's main intent is to harden other eBPF security tools by enforcing access control policies on eBPF objects (like maps) to prevent tampering by privileged users. This is a form of proactive defense and configuration enforcement, which directly matches the definition of Defensive Security: 'programs that use eBPF to strengthen, validate, or harden systems before or outside of active runtime attack conditions.' It is not performing live threat detection (Runtime Security) but is instead focused on preventing the subversion of the security infrastructure itself.",
isovalent/cilium-up-and-running,Educational / Demonstration Resources,"The repository's explicit and primary purpose is to serve as a companion to the O'Reilly book ""Cilium Up and Running."" It contains manifests, scripts, and configurations intended to help readers experiment, reproduce demonstrations, and learn about Cilium. The README clearly states it is ""not a production-ready deployment,"" reinforcing its educational intent. This directly aligns with the definition of an Educational / Demonstration Resource, which includes book companions, tutorials, and examples for learning purposes.",
d-e-s-o/bpflint,Developer Tooling / Frameworks,"The repository provides `bpflint`, a static analysis tool (linter) for BPF C source code. Its primary function is to help developers write better, more correct eBPF programs by identifying known issues, outdated patterns, and common errors before compilation. This fits squarely into the Developer Tooling / Frameworks category, which explicitly includes 'linters, and analyzers that help developers inspect, validate, or troubleshoot eBPF code'. The tool's goal is to improve developer productivity and code quality, not to perform runtime security, networking, or observability.",
madhavan-21/kernalKoala,Observability,"The repository's primary purpose is to capture and analyze network traffic in real time. The documentation explicitly describes it as a ""L4 network monitor"" and a ""high-performance network traffic analyzer"" that uses eBPF to trace ingress and egress traffic. Its functionality focuses on collecting and displaying telemetry about network packets (TCP/UDP/ICMP), providing visibility for diagnostics and performance analysis. This aligns perfectly with the definition of Observability, which is to ""observe, measure, trace, or profile systems... without a security or adversarial goal."" The tool does not enforce security policies, route traffic, or provide a development framework, clearly distinguishing it from the Security, Networking, and Developer Tooling categories.",
alex-ilgayev/MCPSpy,Runtime Security,"The repository's primary stated purpose is security analysis of the Model Context Protocol (MCP). The documentation explicitly lists its first and most prominent use case as '🔒 Security Analysis' with the goals to 'Monitor what data is being transmitted, detect PII leakage, and audit tool executions.' This aligns directly with the definition of Runtime Security, which involves using eBPF to observe and detect policy-violating activity in real time. Although the tool also supports debugging and performance monitoring (features of Observability), its core intent is framed around security and compliance, interpreting the monitored data through a threat-detection lens (e.g., data leakage). The gray-area guidance clarifies that if a tool's alerts or analysis are for malicious or suspicious actions, it belongs in Runtime Security, making it the most appropriate classification.",
Internet-Architecture-and-Security/PacketScope,Runtime Security,"The repository describes itself as a tool that 'integrates performance optimization, anomaly diagnosis, and security defense,' with a tagline of '""Smart Armor"" for Server-Side Defense'. While it possesses strong observability features like performance analysis and path tracing (the 'Analyzer' and 'Tracer' modules), its primary and differentiating intent is security. The 'Guarder' module is explicitly designed for 'Security protection and threat detection' and 'Detects and intercepts low-level abnormal traffic.' This capability to actively detect and respond to threats in real-time aligns directly with the definition of Runtime Security, which includes programs that 'observe, detect, and respond to potentially malicious or policy-violating activity'. The use cases further confirm this focus, listing 'Threat Detection and Security Defense' and blocking attacks. According to the classification rules, if a tool both monitors and enforces security rules dynamically (e.g., blocking actions), it belongs in Runtime Security.",
eunomia-bpf/MCPtrace,"Operations, Orchestration & Lifecycle Management","The repository's primary function is to provide a server that acts as a secure gateway to manage the lifecycle of `bpftrace` programs, which are generated and controlled by an external AI assistant. Its core purpose is not to perform observability itself, but to orchestrate the execution of these eBPF-based traces. It manages deployment (loading the trace), configuration (via AI prompts), and lifecycle (asynchronous execution and result retrieval). This perfectly aligns with the definition of a tool that manages, deploys, and coordinates the operation of eBPF programs, making it a clear fit for the Operations, Orchestration & Lifecycle Management category.",
multikernel/kernelscript,Developer Tooling / Frameworks,"The repository provides KernelScript, a domain-specific language and compiler toolchain designed to simplify and accelerate the development of eBPF programs. Its primary function is to help developers write, build, and manage eBPF code by abstracting away low-level complexities like boilerplate C code, map management, and tail calls. The toolchain includes commands like `init` and `compile`, which are characteristic of a development framework. This aligns perfectly with the definition of a developer tool, as it is used to create eBPF programs rather than performing a specific security, networking, or observability function itself.",
markopetrovi/eBPFLuanti,Runtime Security,"The repository's primary and explicitly stated purpose is to ""protect Luanti... servers from packet-based abuse, such as UDP spam and flooding."" It achieves this by using an eBPF/XDP program that operates in real time to inspect incoming network packets, detect activity that violates a predefined rate-limiting policy, and automatically respond by banning the offending IP address. This fits the definition of Runtime Security perfectly, as it observes, detects, and responds to malicious activity while the server is actively running. The functionality aligns with key indicators like runtime protection, detection, enforcement, live monitoring, and real-time response.",
isovalent/CKS-Study-Guide,Educational / Demonstration Resources,"The repository is explicitly a ""Study Guide"" designed to help candidates prepare for the Certified Kubernetes Security Specialist (CKS) exam. It consists of a curated list of educational resources such as labs, documentation, and videos. Its primary intent is to teach and provide learning materials, not to function as a deployable tool for security, networking, or observability. This directly matches the definition of the Educational / Demonstration Resources class, which includes projects created for teaching, training, or providing learning materials.",
SRodi/ebpf-server,Observability,"The repository's primary intent is to monitor, observe, and provide analytics on network and system events. The documentation explicitly states its purpose is to be a ""monitoring system with HTTP API server for real-time network and system event monitoring"" and to provide ""real-time network analytics"". Its features, such as a queryable API for events (connections, packet drops) with rich filtering and Kubernetes metadata enrichment, are characteristic of an observability tool designed to provide visibility and insight into system behavior. The project does not mention any security-related goals like threat detection, policy enforcement, or malicious activity prevention, distinguishing it from the Runtime Security class. It simply observes and reports what is happening, which is the core function of an Observability program.",
bombinisecurity/bombini,Runtime Security,"The repository explicitly describes itself as an ""eBPF security monitoring agent"". Its purpose is to run in real time, using various ""detectors"" to observe system behavior for security-relevant events. The instructions also mention checking for and enabling BPF LSM (Linux Security Module), a kernel feature designed for live monitoring and policy enforcement. This directly aligns with the definition of Runtime Security, which focuses on observing, detecting, and responding to potentially malicious activity as it happens on a running system.",
h0x0er/ebpf-snippets,Developer Tooling / Frameworks,"The repository's sole purpose is to provide code snippets for the VS Code editor to accelerate the development of eBPF programs. This directly aligns with the definition of 'Developer Tooling / Frameworks', which includes programs that 'help developers write, debug, test, build, and distribute eBPF programs more efficiently'. The inclusion rules for this class explicitly mention 'repositories that provide comprehensive developer documentation, tutorials, and snippets for building with eBPF', making this a perfect fit. The tool itself does not perform any runtime function; it is a utility for the developer's environment.",
free5gc/gtp5g-tracer,Observability,"The repository's explicit purpose is to ""Debug gtp5g kernel module using eBPF."" Its functionality is centered around tracing function calls within a specific kernel module (`gtp5g`) and viewing the output via `trace_pipe`. This aligns perfectly with the definition of the Observability class, which includes tools that ""use eBPF to observe, measure, trace, or profile systems, applications, or networks without a security or adversarial goal."" The tool's intent is to provide visibility and insight for developers, which is a core tenet of observability, rather than enforcing security, providing a network dataplane, or offering a generic development framework.",
rhargreaves/knock-knock,Runtime Security,"The repository's main intent is to protect TCP ports on a live system by enforcing a real-time access control policy. It uses eBPF to inspect incoming network packets and actively drops them until a correct sequence of UDP 'knocks' is received. This falls squarely under the definition of Runtime Security, as it uses eBPF to 'observe, detect, and respond' to policy-violating network activity in real time. The program's core function is to enforce a security policy dynamically by blocking unauthorized traffic, which is a key characteristic of this class.",
viktordoronin/stamp-bpf,Observability,"The repository provides an implementation of the STAMP protocol (RFC 8762), which is explicitly a ""network performance measurement protocol"". Its primary function is to use eBPF to timestamp packets at ingress and egress to calculate precise one-way and round-trip latencies. This aligns perfectly with the definition of Observability, which is to ""observe, measure, trace, or profile systems, applications, or networks without a security or adversarial goal."" The tool's output consists of metrics and histograms for performance analysis. While it operates on the kernel dataplane using `tc`, its intent is not to provide a networking service (like routing or filtering) but to generate telemetry about an existing network path, making it a classic observability tool.",
dynatrace-oss/koney,Runtime Security,"The repository's primary purpose is to deploy 'cyber traps' (honeytokens) and then use eBPF (via Tetragon) to detect, log, and alert on access to these traps in real time. This aligns directly with the definition of Runtime Security, which involves observing system activity (in this case, file access) to detect potentially malicious or policy-violating behavior while a system is running. The project's stated goals are to 'Deter Attackers' and 'Build Threat Intelligence' by generating security alerts, which is a core function of a runtime security tool.",
novartc/sipbench,Kernel / Dataplane Networking,"The repository's primary function is to serve as a high-performance SIP stress testing and benchmarking tool. It explicitly states that it achieves this performance by using eBPF/XDP for ""kernel-level packet processing for RTP media."" This directly aligns with the Kernel / Dataplane Networking category, which includes programs that use eBPF hooks like XDP to accelerate networking functions and process packets directly in the kernel. The tool's main intent is performance and packet path efficiency for a specific protocol (SIP/RTP), which is a classic use case for this category. It is not designed for security, general observability, or cloud-native orchestration.",
Aditya1404Sal/task,Observability,"The repository describes a ""runtime process monitoring service"" that uses eBPF to capture `execve` syscall events. Its primary function is to collect this data and expose it via an API for querying recent executions. The project's intent is to observe and report what processes are running, which is a core function of observability. It lacks any mechanism for detecting malicious behavior, enforcing security policies, or generating alerts, which would be required for the 'Runtime Security' classification. It simply provides visibility into system activity without an adversarial context.",
zzzzz167/Larkspur,Observability,"The repository's one-line description, ""A real-time performance analyzer based on eBPF and Rust,"" places it squarely in the Observability category. The primary intent is to measure, trace, and profile system behavior for performance diagnostics, which is the core function of observability tools. The documentation does not mention any security enforcement, networking implementation, or adversarial capabilities, ruling out the security and networking classes. It is presented as an end-user application for analysis, not a framework for developers, making it a consumer of eBPF for insight rather than a tool for creation.",
Query-Doctor/stethoscope,Observability,"The repository's stated purpose is to be an ""eBPF-based, database-agnostic query collector."" It passively listens to and collects telemetry about database queries, including the query content, response timing, and connection details. This aligns perfectly with the definition of Observability, which is to ""observe, measure, trace, or profile systems, applications, or networks without a security or adversarial goal."" The tool provides visibility into application behavior for performance analysis and debugging, which are core tenets of observability. It does not enforce security policies, manage network traffic, or serve as a developer framework.",
Mys7erio/eBPF-Sentinel,Runtime Security,"The repository's primary function is to detect and respond to live network attacks (specifically SSDP floods) in real time. It uses eBPF/XDP to observe incoming packets, a user-space component with a machine learning model to detect malicious activity, and an eBPF map to automatically block offending IP addresses. This aligns perfectly with the definition of Runtime Security, which involves observing, detecting, and responding to potentially malicious activity as it happens. Although described as a Proof of Concept, its intent and mechanism are clearly focused on runtime threat detection and enforcement.",
stillya/wg-relay,Offensive Security,"The repository's explicit purpose is to create an ""eBPF-based traffic obfuscation system to disguise WireGuard traffic to bypass DPI and government censorship."" This directly aligns with the Offensive Security category, which covers programs used for adversarial purposes, including evasion and bypassing security controls. The project's function is to subvert a network security measure (Deep Packet Inspection), which is a core characteristic of this class. The inclusion rule ""Include tools that use eBPF to bypass existing security measures"" perfectly describes this tool's intent and functionality.",
parca-dev/oomprof,Observability,"The repository's primary function is to profile application memory usage at the moment of an Out-of-Memory (OOM) event. It uses eBPF tracepoints to observe kernel behavior and captures diagnostic data (heap profiles) for post-mortem analysis. This directly aligns with the definition of Observability, which focuses on understanding system behavior, diagnosing problems, and improving reliability and performance. The tool's goal is to provide insight ('Why did this process get OOM-killed?'), not to enforce security policies, manage networking, or provide a developer framework. The output is a standard `pprof` file, reinforcing its role as a performance analysis and debugging tool.",
Kagnite/Kernel-Ruler,Observability,"The repository describes itself as a ""terminal-based process monitoring tool"" and an `htop` + `pstree` alternative focused on ""real-time process execution tracking."" It uses eBPF to hook the `execve` syscall to observe and visualize the process hierarchy. This aligns perfectly with the Observability class, which focuses on using eBPF to observe, trace, and understand system behavior without an explicit security goal. The tool's primary function is to provide insight and diagnostics for operators, not to detect or enforce against malicious activity.",
sazidul0/Real-Time-eBPF-Intrusion-Detection-System,Runtime Security,"The repository explicitly describes itself as a 'Real-Time eBPF Intrusion Detection System (IDS)'. Its core functionality is to monitor system calls like execve and connect in real-time, apply a set of customizable rules to detect suspicious or malicious activities (e.g., 'Suspicious Execution From Temp', 'Potential Data Exfiltration'), and generate security alerts. This directly aligns with the definition of Runtime Security, which focuses on observing, detecting, and responding to malicious activity while a system is actively running. The intent is clearly threat detection, not neutral performance monitoring (Observability) or pre-runtime hardening (Defensive Security).",
ErikKarlgren/sikte,Observability,"The repository is explicitly described as an ""eBPF-based observability tool for performance research on Linux"". This stated purpose directly aligns with the definition of the 'Observability' class, which includes programs that 'observe, measure, trace, or profile systems...to understand system behavior'. The goal of 'performance research' is the core intent of this category, distinguishing it from security or networking tools.",
vuvietnguyenit/gpu-memleak-trace,Observability,"The repository's primary function is to trace, monitor, and diagnose GPU memory leaks in real time. This aligns perfectly with the definition of Observability, which is to ""observe, measure, trace, or profile systems, applications, or networks without a security or adversarial goal."" The tool provides diagnostic information (PID, command, leaked memory size) to help developers and operators understand and debug system behavior related to resource consumption. It does not perform any security enforcement, networking, or offensive actions; its sole purpose is to provide insight and diagnostics for performance and reliability issues.",
MikolajKolek/ebpf-memory-monitor,Observability,"The repository's stated purpose is to monitor a process's peak memory usage (VmPeak) and check if it exceeds its configured resource limit (RLIMIT_AS). This is a classic observability task, focused on gathering diagnostic information about system and process behavior. It does not frame this monitoring within an adversarial context (e.g., detecting malicious activity), nor does it enforce policies or respond to threats, which would place it in a security category. Its intent is to provide insight into resource consumption, aligning perfectly with the definition of Observability.",
lac-dcc/honey-potion,Developer Tooling / Frameworks,"The repository's primary purpose is to enable developers to write eBPF programs using the Elixir programming language. It is explicitly described as a 'framework' that 'translates Elixir code into a subset of C' which is then compiled into eBPF bytecode. This squarely fits the definition of a Developer Tooling / Framework, as it provides an SDK-like experience, language bindings, and a build toolchain to make eBPF development more accessible. The project itself does not perform any security, networking, or observability functions; it is a tool for creating other eBPF programs.",
tiann/eadb,Developer Tooling / Frameworks,"The primary intent of `eadb` is to facilitate eBPF development and debugging on Android devices. It achieves this by creating a familiar Linux shell environment (via chroot) where standard eBPF toolchains like BCC, bpftrace, and bpftool can be installed and run. This directly addresses developer productivity by bridging the gap between a typical development setup and the constrained Android environment. The repository does not provide runtime security, observability, or networking functionality itself; rather, it provides the necessary tooling and environment for developers to build, debug, and test such eBPF programs for Android. Therefore, it fits squarely into the 'Developer Tooling / Frameworks' category.",
intel/istio-tcpip-bypass,Cloud Native Networking,"The repository's primary and explicit purpose is to accelerate the Istio service mesh by using eBPF to bypass the TCP/IP stack for communication between pods on the same host. This directly falls under the definition of Cloud Native Networking, which includes programs that 'use eBPF to implement, optimize, or extend networking capabilities within containerized or cloud-native environments — such as Kubernetes'. The project targets a specific cloud-native technology (Istio), is deployed via a Kubernetes DaemonSet, and aims to improve performance (latency) within that ecosystem. While it involves low-level packet handling, its context is not generic kernel networking but specifically service mesh optimization in a containerized environment.",
h3xduck/TripleCross,Offensive Security,"The repository explicitly describes itself as ""a Linux eBPF rootkit that demonstrates the offensive capabilities of the eBPF technology."" Its features are designed for adversarial purposes, including a backdoor with Command and Control (C2), library injection, execution hijacking, local privilege escalation, and stealth modules to hide its presence. These functionalities perfectly match the definition of the Offensive Security class, which includes rootkits, implants, and tools for privilege escalation and stealth. The project is also inspired by other known offensive eBPF tools like `boopkit`, which is a positive example for this category.",
citronneur/pamspy,Offensive Security,"The repository's explicit purpose is to act as a ""Credentials Dumper for Linux"" by hooking the Pluggable Authentication Modules (PAM) library to intercept and exfiltrate secrets from critical services like `sudo` and `sshd`. This aligns perfectly with the definition of Offensive Security, which includes tools used for adversarial, red-team purposes such as credential exfiltration and post-exploitation. The project is presented as an eBPF equivalent of `3snake`, a known penetration testing tool, further solidifying its classification as a tool built to attack or subvert systems, not defend or observe them.",
